geneID	gff_annotation	gff_annotation.1
100700637	LOC100700637	coiled-coil domain-containing protein 80
100700638	LOC100700638	granzyme K-like
100700639	LOC100700639	high-affinity choline transporter 1-like
100700640	noc2l	NOC2 like nucleolar associated transcriptional repressor
100700641	LOC100700641	olfactory receptor 11A1-like
100700642	LOC100700642	RNA-binding protein 25%2C transcript variant X2
100700643	LOC100700643	neuropeptide Y receptor type 1%2C transcript variant X2
100700644	LOC100700644	pancreatic progenitor cell differentiation and proliferation factor B
100700645	kiz	kizuna centrosomal protein%2C transcript variant X5
100700646	LOC100700646	protocadherin Fat 3
100700647	tmem17	transmembrane protein 17%2C transcript variant X2
100700648	pdk1	pyruvate dehydrogenase kinase 1%2C transcript variant X2
100700650	gpx2	glutathione peroxidase 2
100700651	LOC100700651	myelin regulatory factor-like protein
100700652	LOC100700652	kazrin-A
100700653	rsg1	REM2 and RAB like small GTPase 1%2C transcript variant X2
100700654	LOC100700654	agrin%2C transcript variant X2
100700655	lsamp	limbic system-associated membrane protein%2C transcript variant X5
100700656	gatb	glutamyl-tRNA amidotransferase subunit B
100700657	foxo3	forkhead box O3
100700658	LOC100700658	guanine nucleotide-binding protein G(o) subunit alpha
100700659	LOC100700659	histamine H2 receptor
100700660	nbn	nibrin
100700661	arhgap24	Rho GTPase activating protein 24
100700663	pex26	peroxisomal biogenesis factor 26%2C transcript variant X1
100700664	LOC100700664	B-cell lymphoma/leukemia 11A
100700665	LOC100700665	ATP-binding cassette sub-family A member 1
100700666	LOC100700666	arf-GAP with dual PH domain-containing protein 2
100700667	LOC100700667	cholecystokinin receptor
100700668	LOC100700668	14-3-3 protein beta/alpha-1%2C transcript variant X2
100700669	LOC100700669	GTPase IMAP family member 4-like
100700671	usp45	ubiquitin specific peptidase 45%2C transcript variant X4
100700672	LOC100700672	ras-related protein Rab-40C
100700673	ermp1	endoplasmic reticulum metallopeptidase 1
100700674	LOC100700674	phosphoribosyl pyrophosphate synthase-associated protein 1%2C transcript variant X2
100700675	tbc1d25	TBC1 domain family member 25
100700676	htatip2	HIV-1 Tat interactive protein 2%2C transcript variant X2
100700677	LOC100700677	G protein-activated inward rectifier potassium channel 3
100700678	LOC100700678	uncharacterized LOC100700678%2C transcript variant X1
100700679	LOC100700679	HAUS augmin-like complex subunit 7%2C transcript variant X1
100700681	LOC100700681	gamma-crystallin M2-like
100700682	LOC100700682	toll-like receptor 13%2C transcript variant X2
100700683	LOC100700683	insulin gene enhancer protein ISL-1%2C transcript variant X2
100700684	LOC100700684	galectin-3
100700685	LOC100700685	tensin-3%2C transcript variant X1
100700686	tsr2	TSR2%2C ribosome maturation factor
100700687	pcid2	PCI domain containing 2
100700688	LOC100700688	stonustoxin subunit beta-like
100700689	LOC100700689	transcription factor Adf-1
100700690	LOC100700690	probable phospholipid-transporting ATPase VD%2C transcript variant X5
100700691	pitpnc1	phosphatidylinositol transfer protein%2C cytoplasmic 1%2C transcript variant X3
100700692	LOC100700692	phospholipid scramblase 2%2C transcript variant X1
100700693	LOC100700693	multiple C2 and transmembrane domain-containing protein 2%2C transcript variant X1
100700694	lrrc8d	leucine rich repeat containing 8 family member D
100700695	dvl2	dishevelled segment polarity protein 2
100700696	LOC100700696	C-C motif chemokine 20
100700697	LOC100700697	histone H3
100700698	dis3	DIS3 homolog%2C exosome endoribonuclease and 3'-5' exoribonuclease
100700700	tbc1d24	TBC1 domain family member 24%2C transcript variant X5
100700701	LOC100700701	GTPase IMAP family member 4-like
100700703	itih6	inter-alpha-trypsin inhibitor heavy chain family member 6%2C transcript variant X2
100700704	pclaf	PCNA clamp associated factor
100700705	chd1	chromodomain helicase DNA binding protein 1
100700707	LOC100700707	troponin I%2C fast skeletal muscle
100700711	LOC100700711	collagen alpha-1(I) chain
100700712	LOC100700712	fibrous sheath CABYR-binding protein
100700713	LOC100700713	SH3 and multiple ankyrin repeat domains protein 3%2C transcript variant X4
100700714	LOC100700714	mitochondrial basic amino acids transporter%2C transcript variant X2
100700715	LOC100700715	probable ribonuclease ZC3H12C
100700716	cacul1	CDK2 associated cullin domain 1
100700717	LOC100700717	glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1-B-like
100700719	LOC100700719	protein unc-119 homolog B%2C transcript variant X3
100700720	LOC100700720	thiamine transporter 2%2C transcript variant X1
100700721	LOC100700721	zinc-binding protein A33
100700722	LOC100700722	disintegrin and metalloproteinase domain-containing protein 11%2C transcript variant X1
100700723	LOC100700723	liprin-beta-2%2C transcript variant X3
100700724	LOC100700724	probable carboxypeptidase X1
100700725	LOC100700725	histone acetyltransferase p300%2C transcript variant X3
100700726	LOC100700726	receptor-type tyrosine-protein kinase FLT3
100700727	LOC100700727	triple functional domain protein%2C transcript variant X4
100700728	LOC100700728	ras-related protein Rab-25
100700729	LOC100700729	leucine-rich repeat flightless-interacting protein 2%2C transcript variant X7
100700730	LOC100700730	guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12%2C transcript variant X4
100700731	LOC100700731	STAM-binding protein-like A
100700733	LOC100700733	ADP/ATP translocase 2
100700734	zdhhc8	zinc finger DHHC-type containing 8%2C transcript variant X1
100700735	LOC100700735	serine/threonine-protein phosphatase with EF-hands 1%2C transcript variant X9
100700736	hsd17b3	hydroxysteroid 17-beta dehydrogenase 3%2C transcript variant X2
100700737	jagn1	jagunal homolog 1
100700739	LOC100700739	claudin-4
100700740	LOC100700740	protein arginine N-methyltransferase 8-B
100700741	LOC100700741	kinesin-1 heavy chain
100700742	lingo1	leucine rich repeat and Ig domain containing 1%2C transcript variant X1
100700743	LOC100700743	probable ATP-dependent RNA helicase DDX5%2C transcript variant X2
100700744	p2rx4	purinergic receptor P2X 4
100700745	armc7	armadillo repeat containing 7
100700746	LOC100700746	GTPase IMAP family member 4-like
100700747	LOC100700747	collagen alpha-5(IV) chain%2C transcript variant X2
100700748	kif14	kinesin family member 14%2C transcript variant X1
100700749	LOC100700749	acyl-coenzyme A thioesterase 4-like
100700750	LOC100700750	probable E3 ubiquitin-protein ligase ARI5
100700751	LOC100700751	torsin-1A%2C transcript variant X2
100700752	snx16	sorting nexin 16%2C transcript variant X2
100700753	LOC100700753	ras-related protein Rab-39B
100700754	LOC100700754	protein FAM98B
100700755	LOC100700755	septin-2
100700756	syt16	synaptotagmin 16%2C transcript variant X4
100700757	clybl	citrate lyase beta like
100700758	LOC100700758	phospholipase D3%2C transcript variant X3
100700759	kcns2	potassium voltage-gated channel modifier subfamily S member 2
100700760	mrpl9	mitochondrial ribosomal protein L9
100700761	ppil4	peptidylprolyl isomerase like 4
100700762	stk11ip	serine/threonine kinase 11 interacting protein%2C transcript variant X2
100700763	spdef	SAM pointed domain containing ETS transcription factor
100700764	ltv1	LTV1 ribosome biogenesis factor
100700765	suds3	SDS3 homolog%2C SIN3A corepressor complex component%2C transcript variant X3
100700766	LOC100700766	solute carrier family 12 member 3
100700767	ncapd3	non-SMC condensin II complex subunit D3
100700768	LOC100700768	zona pellucida-like domain-containing protein 1
100700769	eepd1	endonuclease/exonuclease/phosphatase family domain containing 1
100700770	rsph14	radial spoke head 14 homolog%2C transcript variant X2
100700771	LOC100700771	transcription factor MafG
100700772	LOC100700772	cytochrome P450 3A30%2C transcript variant X2
100700773	tmprss3	transmembrane protease%2C serine 3
100700774	sgo2	shugoshin 2%2C transcript variant X2
100700775	LOC100700775	exostosin-1%2C transcript variant X1
100700776	ncoa1	nuclear receptor coactivator 1%2C transcript variant X2
100700777	LOC100700777	uncharacterized LOC100700777
100700778	lin7b	lin-7 homolog B%2C crumbs cell polarity complex component%2C transcript variant X4
100700780	LOC100700780	uncharacterized LOC100700780
100700781	LOC100700781	D-threo-3-hydroxyaspartate dehydratase
100700782	snrpb	small nuclear ribonucleoprotein polypeptides B and B1
100700783	kmt5b	lysine methyltransferase 5B
100700784	vps16	VPS16%2C CORVET/HOPS core subunit%2C transcript variant X2
100700785	LOC100700785	proline-serine-threonine phosphatase-interacting protein 1
100700786	sntg1	syntrophin gamma 1%2C transcript variant X3
100700788	LOC100700788	C-X-C motif chemokine 10
100700789	LOC100700789	forkhead box protein F2
100700790	LOC100700790	high mobility group protein B2
100700791	LOC100700791	VPS10 domain-containing receptor SorCS3%2C transcript variant X2
100700792	LOC100700792	uncharacterized LOC100700792
100700793	rexo4	REX4 homolog%2C 3'-5' exonuclease
100700794	khk	ketohexokinase%2C transcript variant X5
100700795	LOC100700795	2-epi-5-epi-valiolone synthase
100700796	LOC100700796	dynein heavy chain 12%2C axonemal%2C transcript variant X1
100700798	LOC100700798	serine/threonine-protein kinase OSR1%2C transcript variant X1
100700799	ptchd3	patched domain containing 3
100700800	pam	peptidylglycine alpha-amidating monooxygenase%2C transcript variant X1
100700801	LOC100700801	obscurin
100700802	wdr36	WD repeat domain 36
100700803	dpm2	dolichyl-phosphate mannosyltransferase subunit 2%2C regulatory
100700804	LOC100700804	chloride intracellular channel protein 5
100700806	LOC100700806	cytochrome c oxidase subunit 5B%2C mitochondrial
100700807	dync2h1	dynein cytoplasmic 2 heavy chain 1%2C transcript variant X2
100700808	LOC100700808	choline O-acetyltransferase
100700809	lg4h11orf88	linkage group 4 C11orf88 homolog
100700810	dido1	death inducer-obliterator 1%2C transcript variant X3
100700811	LOC100700811	ubiquitin carboxyl-terminal hydrolase CYLD
100700813	LOC100700813	paralemmin-1%2C transcript variant X3
100700814	atad2	ATPase family%2C AAA domain containing 2%2C transcript variant X1
100700815	LOC100700815	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2%2C3-sialyltransferase 1
100700816	LOC100700816	potassium voltage-gated channel subfamily D member 2%2C transcript variant X3
100700817	tspan18	tetraspanin 18
100700819	pacsin2	protein kinase C and casein kinase substrate in neurons 2%2C transcript variant X1
100700820	LOC100700820	nuclear receptor subfamily 2 group F member 6
100700821	LOC100700821	olfactory receptor 8H1-like
100700822	atrx	ATRX%2C chromatin remodeler%2C transcript variant X1
100700823	LOC100700823	uncharacterized LOC100700823
100700824	clpp	caseinolytic mitochondrial matrix peptidase proteolytic subunit%2C transcript variant X2
100700825	LOC100700825	neurabin-2%2C transcript variant X1
100700826	LOC100700826	polypeptide N-acetylgalactosaminyltransferase 14
100700827	lg10h21orf59	linkage group 10 C21orf59 homolog%2C transcript variant X1
100700828	LOC100700828	PR domain zinc finger protein 1%2C transcript variant X1
100700830	LOC100700830	transmembrane protein 216
100700831	LOC100700831	PWWP domain-containing protein 2A
100700832	LOC100700832	E3 ubiquitin-protein ligase RNF38
100700833	fance	Fanconi anemia complementation group E
100700834	cdk5rap3	CDK5 regulatory subunit associated protein 3
100700835	LOC100700835	sodium-dependent neutral amino acid transporter B(0)AT1
100700836	rnls	renalase%2C FAD dependent amine oxidase%2C transcript variant X3
100700838	LOC100700838	calpain small subunit 1
100700839	mvb12a	multivesicular body subunit 12A
100700840	vwde	von Willebrand factor D and EGF domains
100700841	haus4	HAUS augmin like complex subunit 4
100700842	LOC100700842	serine/threonine-protein kinase SBK2%2C transcript variant X2
100700843	LOC100700843	aldose reductase
100700844	LOC100700844	cellular retinoic acid-binding protein 1
100700845	psmc4	proteasome 26S subunit%2C ATPase 4%2C transcript variant X2
100700846	LOC100700846	phospholipid-transporting ATPase IK%2C transcript variant X7
100700847	LOC100700847	cytochrome c oxidase subunit 7B%2C mitochondrial
100700848	LOC100700848	smoothelin%2C transcript variant X5
100700849	znf330	zinc finger protein 330
100700850	riok3	RIO kinase 3
100700851	LOC100700851	guanylyl cyclase-activating protein 1
100700852	LOC100700852	claudin-15
100700853	ubr1	ubiquitin protein ligase E3 component n-recognin 1
100700854	LOC100700854	NACHT%2C LRR and PYD domains-containing protein 3-like
100700855	LOC100700855	choline transporter-like protein 2%2C transcript variant X2
100700856	tfb2m	transcription factor B2%2C mitochondrial
100700858	mfsd1	major facilitator superfamily domain containing 1%2C transcript variant X4
100700859	LOC100700859	oligodendrocyte transcription factor 2
100700860	plac8	placenta specific 8%2C transcript variant X3
100700861	hapln3	hyaluronan and proteoglycan link protein 3
100700862	mtfp1	mitochondrial fission process 1
100700863	rabgap1l	RAB GTPase activating protein 1 like%2C transcript variant X5
100700864	mcm9	minichromosome maintenance 9 homologous recombination repair factor%2C transcript variant X4
100700865	LOC100700865	flotillin-2a%2C transcript variant X4
100700866	LOC100700866	methionine-R-sulfoxide reductase B1-A
100700867	LOC100700867	transmembrane protein 109
100700868	epha4	EPH receptor A4%2C transcript variant X1
100700869	LOC100700869	ADP-ribosylation factor-like protein 4D
100700871	LOC100700871	mRNA decay activator protein ZFP36L2%2C transcript variant X1
100700872	LOC100700872	muscarinic acetylcholine receptor M1%2C transcript variant X2
100700873	irx6	iroquois homeobox 6%2C transcript variant X1
100700874	LOC100700874	zinc finger protein 2 homolog
100700875	LOC100700875	arf-GAP domain and FG repeat-containing protein 1%2C transcript variant X3
100700876	LOC100700876	anthrax toxin receptor 1
100700877	LOC100700877	cell cycle control protein 50A
100700878	mkl1	megakaryoblastic leukemia (translocation) 1%2C transcript variant X7
100700879	LOC100700879	synaptotagmin-2%2C transcript variant X6
100700881	pqbp1	polyglutamine binding protein 1%2C transcript variant X2
100700885	polm	DNA polymerase mu%2C transcript variant X3
100700886	syap1	synapse associated protein 1
100700888	bnip2	BCL2 interacting protein 2%2C transcript variant X8
100700889	myb	MYB proto-oncogene%2C transcription factor%2C transcript variant X1
100700890	slc35f3	solute carrier family 35 member F3%2C transcript variant X2
100700891	LOC100700891	arf-GAP with coiled-coil%2C ANK repeat and PH domain-containing protein 3%2C transcript variant X7
100700892	LOC100700892	voltage-dependent anion-selective channel protein 2
100700894	LOC100700894	perforin-1
100700895	LOC100700895	anionic trypsin-1
100700896	LOC100700896	transcription factor HES-7
100700897	stxbp5l	syntaxin binding protein 5 like%2C transcript variant X16
100700898	LOC100700898	uncharacterized LOC100700898
100700899	tinagl1	tubulointerstitial nephritis antigen like 1
100700900	LOC100700900	FYN-binding protein%2C transcript variant X3
100700901	LOC100700901	granzyme K%2C transcript variant X1
100700902	ttc9c	tetratricopeptide repeat domain 9C%2C transcript variant X2
100700903	rere	arginine-glutamic acid dipeptide repeats%2C transcript variant X6
100700904	LOC100700904	mitogen-activated protein kinase 11%2C transcript variant X2
100700905	LOC100700905	olfactory receptor 11A1-like
100700906	tpo	thyroid peroxidase
100700907	klhl22	kelch like family member 22%2C transcript variant X2
100700908	LOC100700908	lymphocyte antigen 75
100700909	LOC100700909	ral GTPase-activating protein subunit alpha-2%2C transcript variant X1
100700910	LOC100700910	T-cell surface protein tactile
100700911	LOC100700911	E3 ubiquitin/ISG15 ligase TRIM25
100700912	nup62	nucleoporin 62
100700914	LOC100700914	ras-related protein Rab-15%2C transcript variant X1
100700915	lgr5	leucine rich repeat containing G protein-coupled receptor 5%2C transcript variant X4
100700916	LOC100700916	ski oncogene
100700917	ddi2	DNA damage inducible 1 homolog 2%2C transcript variant X2
100700918	LOC100700918	tyrosine-protein phosphatase non-receptor type 11%2C transcript variant X3
100700919	LOC100700919	homeobox protein otx5
100700920	LOC100700920	chromodomain-helicase-DNA-binding protein Mi-2 homolog%2C transcript variant X3
100700921	epm2a	EPM2A%2C laforin glucan phosphatase
100700923	LOC100700923	transcription factor MafG%2C transcript variant X6
100700924	LOC100700924	protocadherin alpha-C2%2C transcript variant X2
100700925	LOC100700925	nuclear receptor ROR-alpha%2C transcript variant X4
100700926	LOC100700926	nuclear factor 7%2C ovary-like
100700927	ccbe1	collagen and calcium binding EGF domains 1%2C transcript variant X5
100700928	LOC100700928	deoxyribonuclease-1
100700929	eif4ebp2	eukaryotic translation initiation factor 4E binding protein 2
100700930	LOC100700930	ubl carboxyl-terminal hydrolase 18%2C transcript variant X1
100700931	LOC100700931	regulating synaptic membrane exocytosis protein 1%2C transcript variant X4
100700932	LOC100700932	type I inositol 1%2C4%2C5-trisphosphate 5-phosphatase
100700933	lg4h17orf75	linkage group 4 C17orf75 homolog%2C transcript variant X1
100700934	pdzk1	PDZ domain containing 1
100700935	LOC100700935	disintegrin and metalloproteinase domain-containing protein 17%2C transcript variant X1
100700937	faxc	failed axon connections homolog%2C transcript variant X1
100700938	ric1	RIC1 homolog%2C RAB6A GEF complex partner 1%2C transcript variant X2
100700939	LOC100700939	cytoglobin-1%2C transcript variant X3
100700940	efhd2	EF-hand domain family member D2
100700941	prmt3	protein arginine methyltransferase 3
100700942	aplp1	amyloid beta precursor like protein 1%2C transcript variant X2
100700943	LOC100700943	transmembrane prolyl 4-hydroxylase
100700944	LOC100700944	ribosomal biogenesis protein LAS1L
100700945	ano4	anoctamin 4%2C transcript variant X2
100700946	crygs	crystallin gamma S%2C transcript variant X2
100700947	LOC100700947	toll-like receptor 13
100700949	jmjd7	jumonji domain containing 7%2C transcript variant X1
100700951	LOC100700951	olfactory receptor 1-like
100700952	LOC100700952	synaptophysin
100700953	dnajc27	DnaJ heat shock protein family (Hsp40) member C27%2C transcript variant X1
100700954	snrpg	small nuclear ribonucleoprotein polypeptide G
100700955	LOC100700955	major histocompatibility complex class I-related gene protein-like
100700956	LOC100700956	uncharacterized LOC100700956%2C transcript variant X3
100700957	gabrg1	gamma-aminobutyric acid type A receptor gamma1 subunit%2C transcript variant X1
100700958	LOC100700958	von Willebrand factor A domain-containing protein 7
100700959	LOC100700959	phospholipid scramblase 2%2C transcript variant X3
100700960	LOC100700960	myocyte-specific enhancer factor 2A%2C transcript variant X2
100700961	gtf2b	general transcription factor IIB%2C transcript variant X1
100700962	LOC100700962	cornifelin homolog B
100700963	LOC100700963	uncharacterized LOC100700963
100700964	LOC100700964	histone H2A
100700965	LOC100700965	segment polarity protein dishevelled homolog DVL-3
100700966	mzt1	mitotic spindle organizing protein 1
100700968	LOC100700968	noggin-2
100700970	daxx	death domain associated protein%2C transcript variant X4
100700971	LOC100700971	V-type proton ATPase subunit S1
100700972	sycp3	synaptonemal complex protein 3%2C transcript variant X2
100700973	auh	AU RNA binding methylglutaconyl-CoA hydratase%2C transcript variant X1
100700974	LOC100700974	complement C3
100700975	LOC100700975	voltage-dependent calcium channel subunit alpha-2/delta-4%2C transcript variant X1
100700976	LOC100700976	cytochrome P450 2J2%2C transcript variant X3
100700978	LOC100700978	cytochrome P450 2J2
100700979	man1b1	mannosidase alpha class 1B member 1
100700980	abtb2	ankyrin repeat and BTB domain containing 2
100700981	rabl2a	RAB%2C member of RAS oncogene family-like 2A
100700982	slc25a47	solute carrier family 25 member 47
100700983	LOC100700983	guanine nucleotide exchange factor DBS%2C transcript variant X1
100700984	mypn	myopalladin%2C transcript variant X2
100700985	LOC100700985	glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1-B
100700986	LOC100700986	GTP-binding protein Rheb
100700987	LOC100700987	RNA-binding protein Musashi homolog 1
100700988	sphkap	SPHK1 interactor%2C AKAP domain containing%2C transcript variant X2
100700989	gcgr	glucagon receptor%2C transcript variant X5
100700990	p3h4	prolyl 3-hydroxylase family member 4 (non-enzymatic)
100700991	cdyl2	chromodomain Y-like 2%2C transcript variant X1
100700992	LOC100700992	RING finger protein 145
100700993	xpnpep3	X-prolyl aminopeptidase 3
100700994	drd3	dopamine receptor D3%2C transcript variant X4
100700995	pan3	PAN3 poly(A) specific ribonuclease subunit%2C transcript variant X4
100700996	LOC100700996	C-C chemokine receptor type 2%2C transcript variant X1
100700997	kat2b	lysine acetyltransferase 2B
100700998	LOC100700998	protein NLRC3%2C transcript variant X1
100700999	LOC100700999	protein wntless homolog
100701000	ppil2	peptidylprolyl isomerase like 2
100701001	pigt	phosphatidylinositol glycan anchor biosynthesis class T
100701002	lg7h9orf16	linkage group 7 C9orf16 homolog
100701003	pgam5	PGAM family member 5%2C mitochondrial serine/threonine protein phosphatase%2C transcript variant X1
100701004	LOC100701004	uncharacterized LOC100701004
100701005	LOC100701005	transmembrane emp24 domain-containing protein 7%2C transcript variant X2
100701006	rnf180	ring finger protein 180
100701007	LOC100701007	TSC22 domain family protein 1%2C transcript variant X2
100701008	LOC100701008	fibrinogen-like protein 1
100701009	LOC100701009	claudin-4-like
100701010	LOC100701010	tetraspanin-9%2C transcript variant X1
100701011	LOC100701011	sodium- and chloride-dependent taurine transporter%2C transcript variant X1
100701013	cisd3	CDGSH iron sulfur domain 3
100701014	LOC100701014	pancreatic alpha-amylase
100701015	gucd1	guanylyl cyclase domain containing 1
100701016	LOC100701016	uncharacterized LOC100701016
100701018	LOC100701018	tumor necrosis factor alpha-induced protein 2
100701019	ddx59	DEAD-box helicase 59%2C transcript variant X2
100701020	LOC100701020	acyl-coenzyme A thioesterase 4
100701021	LOC100701021	probable E3 ubiquitin-protein ligase RNF144A-A
100701022	LOC100701022	1-acyl-sn-glycerol-3-phosphate acyltransferase alpha
100701023	LOC100701023	NEDD4-like E3 ubiquitin-protein ligase WWP1%2C transcript variant X1
100701024	scmh1	sex comb on midleg homolog 1 (Drosophila)%2C transcript variant X3
100701026	cdc45	cell division cycle 45
100701027	snapc1	small nuclear RNA activating complex polypeptide 1
100701028	zic5	Zic family member 5
100701029	lonrf3	LON peptidase N-terminal domain and ring finger 3
100701030	vps13b	vacuolar protein sorting 13 homolog B%2C transcript variant X6
100701032	ginm1	glycoprotein integral membrane 1
100701033	LOC100701033	tensin%2C transcript variant X5
100701034	capn9	calpain 9
100701035	taok3	TAO kinase 3%2C transcript variant X3
100701036	LOC100701036	GTPase IMAP family member 4-like
100701037	ctu2	cytosolic thiouridylase subunit 2%2C transcript variant X1
100701038	LOC100701038	synaptotagmin-like protein 2%2C transcript variant X1
100701039	LOC100701039	ADP-ribosylation factor-like protein 4A%2C transcript variant X3
100701040	dmtn	dematin actin binding protein%2C transcript variant X3
100701041	LOC100701041	CCR4-NOT transcription complex subunit 7
100701042	sdk1	sidekick cell adhesion molecule 1%2C transcript variant X3
100701043	ccdc93	coiled-coil domain containing 93%2C transcript variant X2
100701044	ankrd44	ankyrin repeat domain 44%2C transcript variant X3
100701045	gnpat	glyceronephosphate O-acyltransferase%2C transcript variant X2
100701046	unc93a	unc-93 homolog A (C. elegans)
100701047	secisbp2l	SECIS binding protein 2 like%2C transcript variant X2
100701048	snrnp70	small nuclear ribonucleoprotein U1 subunit 70%2C transcript variant X1
100701050	LOC100701050	protein NLRC3-like
100701051	orc2	origin recognition complex subunit 2
100701052	LOC100701052	E3 ubiquitin-protein ligase RNF182
100701053	LOC100701053	CD82 antigen
100701054	eef1b2	eukaryotic translation elongation factor 1 beta 2
100701055	nmb	neuromedin B
100701056	mapre2	microtubule associated protein RP/EB family member 2%2C transcript variant X1
100701057	lamc1	laminin subunit gamma 1%2C transcript variant X2
100701058	LOC100701058	protein phosphatase 1F%2C transcript variant X2
100701059	LOC100701059	forkhead box protein Q1
100701060	LOC100701060	VPS10 domain-containing receptor SorCS1%2C transcript variant X3
100701062	LOC100701062	putative nuclease HARBI1
100701063	ddx27	DEAD-box helicase 27%2C transcript variant X2
100701064	LOC100701064	neurofilament medium polypeptide%2C transcript variant X3
100701065	dnah12	dynein axonemal heavy chain 12
100701067	LOC100701067	solute carrier family 22 member 13
100701068	LOC100701068	hypoxanthine-guanine phosphoribosyltransferase%2C transcript variant X3
100701069	mesdc1	mesoderm development candidate 1
100701070	LOC100701070	guanylate kinase%2C transcript variant X1
100701071	LOC100701071	sia-alpha-2%2C3-Gal-beta-1%2C4-GlcNAc-R:alpha 2%2C8-sialyltransferase%2C transcript variant X2
100701072	LOC100701072	mitochondrial uncoupling protein 2
100701073	enpp5	ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative)%2C transcript variant X1
100701074	LOC100701074	multidrug resistance-associated protein 4
100701075	dnajc12	DnaJ heat shock protein family (Hsp40) member C12
100701076	fzd4	frizzled class receptor 4
100701077	LOC100701077	leucine-rich repeat%2C immunoglobulin-like domain and transmembrane domain-containing protein 2
100701078	LOC100701078	Wilms tumor protein homolog
100701079	LOC100701079	myosin-11%2C transcript variant X6
100701080	LOC100701080	bridging integrator 2%2C transcript variant X2
100701081	LOC100701081	gamma-glutamyltransferase 7%2C transcript variant X1
100701082	LOC100701082	polypyrimidine tract-binding protein 1%2C transcript variant X2
100701083	LOC100701083	parvalbumin-7%2C transcript variant X2
100701084	LOC100701084	zinc fingers and homeoboxes protein 1
100701085	LOC100701085	poly [ADP-ribose] polymerase 10
100701086	LOC100701086	methionine aminopeptidase 2
100701087	LOC100701087	cryptochrome-1
100701089	ikbip	IKBKB interacting protein%2C transcript variant X1
100701090	babam1	BRISC and BRCA1 A complex member 1
100701091	LOC100701091	olfactory receptor 2G6-like
100701092	LOC100701092	BTB/POZ domain-containing protein KCTD16
100701093	adrm1	adhesion regulating molecule 1%2C transcript variant X1
100701094	pum2	pumilio RNA binding family member 2%2C transcript variant X1
100701095	LOC100701095	guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5
100701096	LOC100701096	caskin-1%2C transcript variant X6
100701097	angel2	angel homolog 2%2C transcript variant X1
100701098	sod1	superoxide dismutase 1%2C soluble
100701099	LOC100701099	ephrin type-A receptor 7
100701100	csrnp3	cysteine and serine rich nuclear protein 3%2C transcript variant X1
100701101	LOC100701101	coiled-coil domain-containing protein 69
100701102	LOC100701102	tetraspanin-1
100701103	LOC100701103	serine protease HTRA3
100701104	LOC100701104	probable E3 ubiquitin-protein ligase makorin-1%2C transcript variant X2
100701105	pnpo	pyridoxamine 5'-phosphate oxidase
100701106	bsx	brain specific homeobox
100701107	stambpl1	STAM binding protein like 1%2C transcript variant X5
100701109	LOC100701109	protein phosphatase 1 regulatory subunit 14A
100701110	LOC100701110	dynamin-2%2C transcript variant X2
100701111	etv1	ETS variant 1%2C transcript variant X18
100701112	LOC100701112	RNA-binding protein 4%2C transcript variant X6
100701113	LOC100701113	adaptin ear-binding coat-associated protein 1%2C transcript variant X3
100701114	LOC100701114	aldose reductase
100701115	taldo1	transaldolase 1
100701117	LOC100701117	forkhead box protein D1
100701118	pgk1	phosphoglycerate kinase 1
100701119	LOC100701119	selenoprotein M%2C transcript variant X1
100701120	tbc1d9	TBC1 domain family member 9
100701121	LOC100701121	clavesin-1
100701122	LOC100701122	stromal interaction molecule 1%2C transcript variant X2
100701123	LOC100701123	Ig kappa-b4 chain C region-like isoform X1
100701124	LOC100701124	zinc finger and SCAN domain-containing protein 21%2C transcript variant X2
100701125	LOC100701125	protein ELYS%2C transcript variant X8
100701127	LOC100701127	glutaryl-CoA dehydrogenase%2C mitochondrial
100701128	mettl26	methyltransferase like 26
100701129	LOC100701129	excitatory amino acid transporter 3%2C transcript variant X4
100701131	LOC100701131	schwannomin-interacting protein 1%2C transcript variant X4
100701132	klf7	Kruppel like factor 7%2C transcript variant X1
100701133	adamts6	ADAM metallopeptidase with thrombospondin type 1 motif 6%2C transcript variant X2
100701134	LOC100701134	aggrecan core protein%2C transcript variant X2
100701135	LOC100701135	VIP36-like protein%2C transcript variant X1
100701136	LOC100701136	interferon-induced protein 44-like%2C transcript variant X3
100701137	recql	RecQ like helicase%2C transcript variant X3
100701138	eral1	Era like 12S mitochondrial rRNA chaperone 1%2C transcript variant X1
100701139	ndufb10	NADH:ubiquinone oxidoreductase subunit B10
100701140	LOC100701140	syntaxin-3%2C transcript variant X2
100701141	farsb	phenylalanyl-tRNA synthetase beta subunit
100701142	golph3	golgi phosphoprotein 3
100701143	fbxl16	F-box and leucine rich repeat protein 16
100701144	LOC100701144	leucine-rich alpha-2-glycoprotein
100701145	LOC100701145	EH domain-binding protein 1-like protein 1%2C transcript variant X7
100701146	fmn2	formin 2
100701147	irx5	iroquois homeobox 5
100701148	megf8	multiple EGF like domains 8
100701149	atp1b3	ATPase Na+/K+ transporting subunit beta 3
100701150	LOC100701150	cadherin-6%2C transcript variant X2
100701151	rbp3	retinol binding protein 3
